Nama Cabang,Provinsi,Kab/Kota,Cabang
1068.1-G.Sleman - Affandi (SMNAFF),Daerah Istimewa Yogyakarta,Yogyakarta,SMNAFF
1069.1-G.Bandung - Buah Batu (BDGBUA),Jawa Barat,Bandung,BDGBUA
1070.1-G.Pasuruan - Soekarno Hatta (PSNSOE),Jawa Timur,Pasuruan,PSNSOE
1071.1-G.Purwakarta - Taman Pahlawan (PWKTAM),Jawa Barat,Purwakarta,PWKTAM
1072.1-G.Bekasi - Bintara (BKSBIN),Jawa Barat,Bekasi,BKSBIN
1073.1-G.Depok - Komjen Pol Jasin (DPKJAS),Jawa Barat,Depok,DPKJAS
1074.1-G.Bogor - Raya Tajur (BGRTAJ),Jawa Barat,Bogor,BGRTAJ
1075.1-G.Madiun - H.A. Salim (MADSAL),Jawa Timur,Madiun,MADSAL
1076.1-G.Gresik - Sumatra (GSKSUM),Jawa Timur,Gresik,GSKSUM
1077.1-G.Surabaya - Ahmad Yani (SBYAHM),Jawa Timur,Surabaya,SBYAHM
1078.1-G.Bandung - A.H. Nasution (BDGNAS),Jawa Barat,Bandung,BDGNAS
1079.1-G.Bogor - Saptadji Hadiprawira (BGRSAP),Jawa Barat,Bogor,BGRSAP
1080.1-G.Jaksel - Kesehatan Raya (KYBKES),Daerah Khusus Ibukota Jakarta,Jakarta Selatan,KYBKES
1081.1-G.Tangsel - Raya Puspitek (CPTPUS),Banten,Tangerang Selatan,CPTPUS
1082.1-G.Bandung - Taman Kopo Indah (SORTAM),Jawa Barat,Bandung,SORTAM
1083.1-G.Surabaya - Tandes (SBYTAN),Jawa Timur,Surabaya,SBYTAN
1084.1-G.Bekasi - Perum Golden City (BKSGOL),Jawa Barat,Bekasi,BKSGOL
1085.1-G.Cirebon - Pemuda Raya (CBNPEM),Jawa Barat,Cirebon,CBNPEM
1086.1-G.Sidoarjo - Raya Gelam (SDAGEL),Jawa Timur,Sidoarjo,SDAGEL
1087.1-G.Cilacap - S.Parman (CLPPAR),Jawa Tengah,Cilacap,CLPPAR
1088.1-G.Sidoarjo - Raya Ponti (SDAPON),Jawa Timur,Sidoarjo,SDAPON
1089.1-G.Solo - Colomadu (SOLCOL) (NON-AKTIF),,,NON-AKTIF
1090.1-G.Tangsel - Ciater Raya (CPTCIA),Banten,Tangerang Selatan,CPTCIA
1091.1-G.Jakbar - Kebon Jeruk (JAKKEB),DKI Jakarta,Jakarta Barat,JAKKEB
1092.1-G.Depok - Raya Sawangan (DPKSAW),Jawa Barat,Depok,DPKSAW
1093.1-G.Bojonegoro - Teuku Umar (BJNTEU),Jawa Timur,Bojonegoro,BJNTEU
1094.1-G.Karawang - Jendral Ahmad Yani (KWGAHM),Jawa Barat,Karawang,KWGAHM
1095.1-G.Tangerang - K.H. Hasyim Ashari (TNGHAS),Banten,Tangerang,TNGHAS
1096.1-G.Cimahi - Jend. H. Amir Machmud (CMHAMI),Jawa Barat,Cimahi,CMHAMI
1097.1-G.Jaktim - Boulevard Garden City (CKGBOU),Daerah Khusus Ibukota Jakarta,Jakarta Timur,CKGBOU
1098.1-G.Surabaya - Tunjungan (SURTUN),Jawa Timur,Surabaya,SURTUN
1099.1-G.Sidoarjo - Taman Athena (SDATAM),Jawa Timur,Sidoarjo,SDATAM
1100.1-G.Bogor - R.E. Abdullah (BGRABD),Jawa Barat,Bogor,BGRABD
1101.1-G.Sidoarjo - Mayjen Bambang Yuwon (SDABAM),Jawa Timur,Sidoarjo,SDABAM
1102.1-G.Kediri - Urip Sumoharjo (KDRURI),Jawa Timur,Kediri,KDRURI
1103.1-G.Cianjur - Suroso (CJRSUR),Jawa Barat,Cianjur,CJRSUR
1104.1-G.Depok - Raya Bojongsari (DPKBOJ),Jawa Barat,Depok,DPKBOJ
1105.1-G.Jakpus - Keramat Raya (JAKKER),DKI Jakarta,Jakarta Pusat,JAKKER
1106.1-G.Malang - Dirgantara (MLGDIR),Jawa Timur,Malang,MLGDIR
1107.1-G.Kediri - Raya Kediri-Pare (KDRKED),Jawa Timur,Kediri,KDRKED
1108.1-G.Bekasi - Wibawa Mukti (BKSWIB),Jawa Barat,Bekasi,BKSWIB
1109.1-G.Bekasi - Bantar Gebang Setu (BKSBAN),Jawa Barat,Bekasi,BKSBAN
1110.1-G.Bandung - Sumatera (BDGSUM),Jawa Barat,Bandung,BDGSUM
1111.1-G.Semarang - Diponegoro (UNRDIP),Jawa Tengah,Semarang,UNRDIP
1112.1-G.Bogor - Sholeh Iskandar (BGRSHO),Jawa Barat,Bogor,BGRSHO
1113.1-G.Purbalingga (PURBAL),Jawa Tengah,,PURBAL
1114.1-G.Semarang - Soekarno Hatta (SMGSOE),Jawa Tengah,Semarang,SMGSOE
1115.1-G.Bandung - Peta (BDGPET),Jawa Barat,Bandung,BDGPET
1116.1-G.Pamekasan - Jokotole (PMKJOK),Jawa Timur,Pamekasan,PMKJOK
1117.1-G.Bogor - Tegar Beriman (CBITEG),Jawa Barat,Kab. Bogor,CBITEG
1118.1-G.Surakarta - Veteran (SKTVET),Jawa Tengah,Surakarta,SKTVET
1119.1-G.Klaten - Mayor Kusmanto (KLNKUS),Jawa Tengah,Klaten,KLNKUS
1120.1-G.Kudus - H.M. Subchan (KDSSUB),Jawa Tengah,Kudus,KDSSUB
1121.1-G.Semarang - Imam Bonjol (SMGIMA),Jawa Tengah,Semarang,SMGIMA
1122.1-G.Makassar - Tun Abdul Razak (MKSTUN),Sulawesi Selatan,Gowa,MKSTUN
1123.1-G.Surabaya - Kenjeran Kel. Rangkah (SBYRAN),Jawa Timur,Surabaya,SBYRAN
1124.1-G.Cimahi - Raya Barat (CMHBAR),Jawa Barat,Cimahi,CMHBAR
1125.1-G.Surabaya - Mulyorejo (SBYMUL),Jawa Timur,Surabaya,SBYMUL
1126.1-G.Bekasi - Pondok Gede (BKSPON),Jawa Barat,Bekasi,BKSPON
1127.1-G.Jakut - Danau Sunter Utara (TJPDAN),Daerah Khusus Ibukota Jakarta,Jakarta Utara,TJPDAN
1128.1-G.Bogor - Raya Cibungbulang (CBICIB),Jawa Barat,Bogor,CBICIB
1129.1-G.Bekasi - Tarum Barat (CKRTAR),Jawa Barat,Bekasi,CKRTAR
1130.1-G.Tangsel - Alam Sutera (CPTALA),Banten,Tangerang Selatan,CPTALA
1131.1-G.Surabaya - Bung Tomo (SBYBUN),Jawa Timur,Surabaya,SBYBUN
1132.1-G.Subang - Otto Iskandardinata (SNGOTT),Jawa Barat,Subang,SNGOTT
1133.1-G.Bandung - Raya Kopo (SORKOP),Jawa Barat,Bandung,SORKOP
1134.1-G.Karawang - Tuparev (KWGTUP),Jawa Barat,Karawang,KWGTUP
1135.1-G.Bandung Barat - Raya Lembang (NPHLEM),Jawa Barat,Bandung Barat,NPHLEM
